Id,Source,Target,Type
1,Adile Naþit,Þener Þen,Undirected
2,Ayþen Gruda,Þener Þen,Undirected
3,Kemal Sunal,Þener Þen,Undirected
4,Ýhsan Yüce,Þener Þen,Undirected
5,Cevdet Balýkçý,Þener Þen,Undirected
6,Ayþen Gruda,Adile Naþit,Undirected
7,Kemal Sunal,Adile Naþit,Undirected
8,Ýhsan Yüce,Adile Naþit,Undirected
9,Cevdet Balýkçý,Adile Naþit,Undirected
10,Kemal Sunal,Ayþen Gruda,Undirected
11,Ýhsan Yüce,Ayþen Gruda,Undirected
12,Cevdet Balýkçý,Ayþen Gruda,Undirected
13,Ýhsan Yüce,Kemal Sunal,Undirected
14,Cevdet Balýkçý,Kemal Sunal,Undirected
15,Cevdet Balýkçý,Ýhsan Yüce,Undirected
16,Þener Þen,Ýlyas Salman,Undirected
17,Ayþen Gruda,Ýlyas Salman,Undirected
18,Pembe Mutlu,Ýlyas Salman,Undirected
19,Ahmet Mekin,Ýlyas Salman,Undirected
20,Ýhsan Yüce,Ýlyas Salman,Undirected
21,Orhan Çaðýrman,Ýlyas Salman,Undirected
22,Ahmet Fuat Onan,Ýlyas Salman,Undirected
23,Ali Demirel,Ýlyas Salman,Undirected
24,Yaþar Güner,Ýlyas Salman,Undirected
25,Burhan Ýnce,Ýlyas Salman,Undirected
26,Ömer Bubu,Ýlyas Salman,Undirected
27,Hikmet Gül,Ýlyas Salman,Undirected
28,Garibe Gündem,Ýlyas Salman,Undirected
29,Sebahat Ýzgü,Ýlyas Salman,Undirected
30,Pembe Mutlu,Þener Þen,Undirected
31,Ahmet Mekin,Þener Þen,Undirected
32,Orhan Çaðýrman,Þener Þen,Undirected
33,Ahmet Fuat Onan,Þener Þen,Undirected
34,Ali Demirel,Þener Þen,Undirected
35,Yaþar Güner,Þener Þen,Undirected
36,Burhan Ýnce,Þener Þen,Undirected
37,Ömer Bubu,Þener Þen,Undirected
38,Hikmet Gül,Þener Þen,Undirected
39,Garibe Gündem,Þener Þen,Undirected
40,Sebahat Ýzgü,Þener Þen,Undirected
41,Pembe Mutlu,Ayþen Gruda,Undirected
42,Ahmet Mekin,Ayþen Gruda,Undirected
43,Orhan Çaðýrman,Ayþen Gruda,Undirected
44,Ahmet Fuat Onan,Ayþen Gruda,Undirected
45,Ali Demirel,Ayþen Gruda,Undirected
46,Yaþar Güner,Ayþen Gruda,Undirected
47,Burhan Ýnce,Ayþen Gruda,Undirected
48,Ömer Bubu,Ayþen Gruda,Undirected
49,Hikmet Gül,Ayþen Gruda,Undirected
50,Garibe Gündem,Ayþen Gruda,Undirected
51,Sebahat Ýzgü,Ayþen Gruda,Undirected
52,Ahmet Mekin,Pembe Mutlu,Undirected
53,Ýhsan Yüce,Pembe Mutlu,Undirected
54,Orhan Çaðýrman,Pembe Mutlu,Undirected
55,Ahmet Fuat Onan,Pembe Mutlu,Undirected
56,Ali Demirel,Pembe Mutlu,Undirected
57,Yaþar Güner,Pembe Mutlu,Undirected
58,Burhan Ýnce,Pembe Mutlu,Undirected
59,Ömer Bubu,Pembe Mutlu,Undirected
60,Hikmet Gül,Pembe Mutlu,Undirected
61,Garibe Gündem,Pembe Mutlu,Undirected
62,Sebahat Ýzgü,Pembe Mutlu,Undirected
63,Ýhsan Yüce,Ahmet Mekin,Undirected
64,Orhan Çaðýrman,Ahmet Mekin,Undirected
65,Ahmet Fuat Onan,Ahmet Mekin,Undirected
66,Ali Demirel,Ahmet Mekin,Undirected
67,Yaþar Güner,Ahmet Mekin,Undirected
68,Burhan Ýnce,Ahmet Mekin,Undirected
69,Ömer Bubu,Ahmet Mekin,Undirected
70,Hikmet Gül,Ahmet Mekin,Undirected
71,Garibe Gündem,Ahmet Mekin,Undirected
72,Sebahat Ýzgü,Ahmet Mekin,Undirected
73,Orhan Çaðýrman,Ýhsan Yüce,Undirected
74,Ahmet Fuat Onan,Ýhsan Yüce,Undirected
75,Ali Demirel,Ýhsan Yüce,Undirected
76,Yaþar Güner,Ýhsan Yüce,Undirected
77,Burhan Ýnce,Ýhsan Yüce,Undirected
78,Ömer Bubu,Ýhsan Yüce,Undirected
79,Hikmet Gül,Ýhsan Yüce,Undirected
80,Garibe Gündem,Ýhsan Yüce,Undirected
81,Sebahat Ýzgü,Ýhsan Yüce,Undirected
82,Ahmet Fuat Onan,Orhan Çaðýrman,Undirected
83,Ali Demirel,Orhan Çaðýrman,Undirected
84,Yaþar Güner,Orhan Çaðýrman,Undirected
85,Burhan Ýnce,Orhan Çaðýrman,Undirected
86,Ömer Bubu,Orhan Çaðýrman,Undirected
87,Hikmet Gül,Orhan Çaðýrman,Undirected
88,Garibe Gündem,Orhan Çaðýrman,Undirected
89,Sebahat Ýzgü,Orhan Çaðýrman,Undirected
90,Ali Demirel,Ahmet Fuat Onan,Undirected
91,Yaþar Güner,Ahmet Fuat Onan,Undirected
92,Burhan Ýnce,Ahmet Fuat Onan,Undirected
93,Ömer Bubu,Ahmet Fuat Onan,Undirected
94,Hikmet Gül,Ahmet Fuat Onan,Undirected
95,Garibe Gündem,Ahmet Fuat Onan,Undirected
96,Sebahat Ýzgü,Ahmet Fuat Onan,Undirected
97,Yaþar Güner,Ali Demirel,Undirected
98,Burhan Ýnce,Ali Demirel,Undirected
99,Ömer Bubu,Ali Demirel,Undirected
100,Hikmet Gül,Ali Demirel,Undirected
101,Garibe Gündem,Ali Demirel,Undirected
102,Sebahat Ýzgü,Ali Demirel,Undirected
103,Burhan Ýnce,Yaþar Güner,Undirected
104,Ömer Bubu,Yaþar Güner,Undirected
105,Hikmet Gül,Yaþar Güner,Undirected
106,Garibe Gündem,Yaþar Güner,Undirected
107,Sebahat Ýzgü,Yaþar Güner,Undirected
108,Ömer Bubu,Burhan Ýnce,Undirected
109,Hikmet Gül,Burhan Ýnce,Undirected
110,Garibe Gündem,Burhan Ýnce,Undirected
111,Sebahat Ýzgü,Burhan Ýnce,Undirected
112,Hikmet Gül,Ömer Bubu,Undirected
113,Garibe Gündem,Ömer Bubu,Undirected
114,Sebahat Ýzgü,Ömer Bubu,Undirected
115,Garibe Gündem,Hikmet Gül,Undirected
116,Sebahat Ýzgü,Hikmet Gül,Undirected
117,Sebahat Ýzgü,Garibe Gündem,Undirected
118,Uður Yücel,Þener Þen,Undirected
119,Þermin Hürmeriç,Þener Þen,Undirected
120,Doðu Erkan,Þener Þen,Undirected
121,Erdoðan Sýcak,Þener Þen,Undirected
122,Erdinç Üstün,Þener Þen,Undirected
123,Þermin Hürmeriç,Uður Yücel,Undirected
124,Doðu Erkan,Uður Yücel,Undirected
125,Erdoðan Sýcak,Uður Yücel,Undirected
126,Erdinç Üstün,Uður Yücel,Undirected
127,Doðu Erkan,Þermin Hürmeriç,Undirected
128,Erdoðan Sýcak,Þermin Hürmeriç,Undirected
129,Erdinç Üstün,Þermin Hürmeriç,Undirected
130,Erdoðan Sýcak,Doðu Erkan,Undirected
131,Erdinç Üstün,Doðu Erkan,Undirected
132,Erdinç Üstün,Erdoðan Sýcak,Undirected
133,Tulug Çizgen,Þener Þen,Undirected
134,Bilge Zobu,Þener Þen,Undirected
135,Tulug Çizgen,Uður Yücel,Undirected
136,Adile Naþit,Uður Yücel,Undirected
137,Bilge Zobu,Uður Yücel,Undirected
138,Ýhsan Yüce,Uður Yücel,Undirected
139,Adile Naþit,Tulug Çizgen,Undirected
140,Bilge Zobu,Tulug Çizgen,Undirected
141,Ýhsan Yüce,Tulug Çizgen,Undirected
142,Bilge Zobu,Adile Naþit,Undirected
143,Ýhsan Yüce,Bilge Zobu,Undirected
144,Þener Þen,Üstün Asutay,Undirected
145,Uður Yücel,Üstün Asutay,Undirected
146,Müjde Ar,Üstün Asutay,Undirected
147,Müjde Ar,Þener Þen,Undirected
148,Müjde Ar,Uður Yücel,Undirected
149,Erdal Özyaðcýlar,Þener Þen,Undirected
150,Ergün Uçucu,Þener Þen,Undirected
151,Necati Bilgiç,Þener Þen,Undirected
152,Erdal Özyaðcýlar,Adile Naþit,Undirected
153,Ergün Uçucu,Adile Naþit,Undirected
154,Necati Bilgiç,Adile Naþit,Undirected
155,Erdal Özyaðcýlar,Ayþen Gruda,Undirected
156,Ergün Uçucu,Ayþen Gruda,Undirected
157,Necati Bilgiç,Ayþen Gruda,Undirected
158,Ergün Uçucu,Erdal Özyaðcýlar,Undirected
159,Necati Bilgiç,Erdal Özyaðcýlar,Undirected
160,Necati Bilgiç,Ergün Uçucu,Undirected
161,Yaprak Özdemiroðlu,Þener Þen,Undirected
162,Þevket Altuð,Þener Þen,Undirected
163,Neriman Köksal,Þener Þen,Undirected
164,Hüseyin Kutman,Þener Þen,Undirected
165,Ahmet Turgutlu,Þener Þen,Undirected
166,Serra Yýlmaz,Þener Þen,Undirected
167,Ali Taygun,Þener Þen,Undirected
168,Macit Koper,Þener Þen,Undirected
169,Yaprak Özdemiroðlu,Ýlyas Salman,Undirected
170,Þevket Altuð,Ýlyas Salman,Undirected
171,Neriman Köksal,Ýlyas Salman,Undirected
172,Hüseyin Kutman,Ýlyas Salman,Undirected
173,Ahmet Turgutlu,Ýlyas Salman,Undirected
174,Serra Yýlmaz,Ýlyas Salman,Undirected
175,Ali Taygun,Ýlyas Salman,Undirected
176,Macit Koper,Ýlyas Salman,Undirected
177,Þevket Altuð,Yaprak Özdemiroðlu,Undirected
178,Neriman Köksal,Yaprak Özdemiroðlu,Undirected
179,Hüseyin Kutman,Yaprak Özdemiroðlu,Undirected
180,Ahmet Turgutlu,Yaprak Özdemiroðlu,Undirected
181,Serra Yýlmaz,Yaprak Özdemiroðlu,Undirected
182,Ayþen Gruda,Yaprak Özdemiroðlu,Undirected
183,Ali Taygun,Yaprak Özdemiroðlu,Undirected
184,Macit Koper,Yaprak Özdemiroðlu,Undirected
185,Neriman Köksal,Þevket Altuð,Undirected
186,Hüseyin Kutman,Þevket Altuð,Undirected
187,Ahmet Turgutlu,Þevket Altuð,Undirected
188,Serra Yýlmaz,Þevket Altuð,Undirected
189,Ayþen Gruda,Þevket Altuð,Undirected
190,Ali Taygun,Þevket Altuð,Undirected
191,Macit Koper,Þevket Altuð,Undirected
192,Hüseyin Kutman,Neriman Köksal,Undirected
193,Ahmet Turgutlu,Neriman Köksal,Undirected
194,Serra Yýlmaz,Neriman Köksal,Undirected
195,Ayþen Gruda,Neriman Köksal,Undirected
196,Ali Taygun,Neriman Köksal,Undirected
197,Macit Koper,Neriman Köksal,Undirected
198,Ahmet Turgutlu,Hüseyin Kutman,Undirected
199,Serra Yýlmaz,Hüseyin Kutman,Undirected
200,Ayþen Gruda,Hüseyin Kutman,Undirected
201,Ali Taygun,Hüseyin Kutman,Undirected
202,Macit Koper,Hüseyin Kutman,Undirected
203,Serra Yýlmaz,Ahmet Turgutlu,Undirected
204,Ayþen Gruda,Ahmet Turgutlu,Undirected
205,Ali Taygun,Ahmet Turgutlu,Undirected
206,Macit Koper,Ahmet Turgutlu,Undirected
207,Ayþen Gruda,Serra Yýlmaz,Undirected
208,Ali Taygun,Serra Yýlmaz,Undirected
209,Macit Koper,Serra Yýlmaz,Undirected
210,Ali Taygun,Ayþen Gruda,Undirected
211,Macit Koper,Ayþen Gruda,Undirected
