Id,Source,Target,Type
1,Orhan Uslu,Ivana Sert,Undirected
2,Ýlker Kurt,Ivana Sert,Undirected
3,Sefa Zengin,Ivana Sert,Undirected
4,Vural Buldu,Ivana Sert,Undirected
5,Selma Güngör,Ivana Sert,Undirected
6,Tuncay Günhan,Ivana Sert,Undirected
7,Ali Sezer Çevik,Ivana Sert,Undirected
8,Oðuz Haksever,Ivana Sert,Undirected
9,Þeyma Kozlu,Ivana Sert,Undirected
10,Ebru Avcý,Ivana Sert,Undirected
11,Erol Polat,Ivana Sert,Undirected
12,Y. Emre Seyrek,Ivana Sert,Undirected
13,Mahir Demir,Ivana Sert,Undirected
14,Muhittin Açýkalýn,Ivana Sert,Undirected
15,Uður Yýldýrým,Ivana Sert,Undirected
16,Ýlker Kurt,Orhan Uslu,Undirected
17,Sefa Zengin,Orhan Uslu,Undirected
18,Vural Buldu,Orhan Uslu,Undirected
19,Selma Güngör,Orhan Uslu,Undirected
20,Tuncay Günhan,Orhan Uslu,Undirected
21,Ali Sezer Çevik,Orhan Uslu,Undirected
22,Oðuz Haksever,Orhan Uslu,Undirected
23,Þeyma Kozlu,Orhan Uslu,Undirected
24,Ebru Avcý,Orhan Uslu,Undirected
25,Erol Polat,Orhan Uslu,Undirected
26,Y. Emre Seyrek,Orhan Uslu,Undirected
27,Mahir Demir,Orhan Uslu,Undirected
28,Muhittin Açýkalýn,Orhan Uslu,Undirected
29,Uður Yýldýrým,Orhan Uslu,Undirected
30,Sefa Zengin,Ýlker Kurt,Undirected
31,Vural Buldu,Ýlker Kurt,Undirected
32,Selma Güngör,Ýlker Kurt,Undirected
33,Tuncay Günhan,Ýlker Kurt,Undirected
34,Ali Sezer Çevik,Ýlker Kurt,Undirected
35,Oðuz Haksever,Ýlker Kurt,Undirected
36,Þeyma Kozlu,Ýlker Kurt,Undirected
37,Ebru Avcý,Ýlker Kurt,Undirected
38,Erol Polat,Ýlker Kurt,Undirected
39,Y. Emre Seyrek,Ýlker Kurt,Undirected
40,Mahir Demir,Ýlker Kurt,Undirected
41,Muhittin Açýkalýn,Ýlker Kurt,Undirected
42,Uður Yýldýrým,Ýlker Kurt,Undirected
43,Vural Buldu,Sefa Zengin,Undirected
44,Selma Güngör,Sefa Zengin,Undirected
45,Tuncay Günhan,Sefa Zengin,Undirected
46,Ali Sezer Çevik,Sefa Zengin,Undirected
47,Oðuz Haksever,Sefa Zengin,Undirected
48,Þeyma Kozlu,Sefa Zengin,Undirected
49,Ebru Avcý,Sefa Zengin,Undirected
50,Erol Polat,Sefa Zengin,Undirected
51,Y. Emre Seyrek,Sefa Zengin,Undirected
52,Mahir Demir,Sefa Zengin,Undirected
53,Muhittin Açýkalýn,Sefa Zengin,Undirected
54,Uður Yýldýrým,Sefa Zengin,Undirected
55,Selma Güngör,Vural Buldu,Undirected
56,Tuncay Günhan,Vural Buldu,Undirected
57,Ali Sezer Çevik,Vural Buldu,Undirected
58,Oðuz Haksever,Vural Buldu,Undirected
59,Þeyma Kozlu,Vural Buldu,Undirected
60,Ebru Avcý,Vural Buldu,Undirected
61,Erol Polat,Vural Buldu,Undirected
62,Y. Emre Seyrek,Vural Buldu,Undirected
63,Mahir Demir,Vural Buldu,Undirected
64,Muhittin Açýkalýn,Vural Buldu,Undirected
65,Uður Yýldýrým,Vural Buldu,Undirected
66,Tuncay Günhan,Selma Güngör,Undirected
67,Ali Sezer Çevik,Selma Güngör,Undirected
68,Oðuz Haksever,Selma Güngör,Undirected
69,Þeyma Kozlu,Selma Güngör,Undirected
70,Ebru Avcý,Selma Güngör,Undirected
71,Erol Polat,Selma Güngör,Undirected
72,Y. Emre Seyrek,Selma Güngör,Undirected
73,Mahir Demir,Selma Güngör,Undirected
74,Muhittin Açýkalýn,Selma Güngör,Undirected
75,Uður Yýldýrým,Selma Güngör,Undirected
76,Ali Sezer Çevik,Tuncay Günhan,Undirected
77,Oðuz Haksever,Tuncay Günhan,Undirected
78,Þeyma Kozlu,Tuncay Günhan,Undirected
79,Ebru Avcý,Tuncay Günhan,Undirected
80,Erol Polat,Tuncay Günhan,Undirected
81,Y. Emre Seyrek,Tuncay Günhan,Undirected
82,Mahir Demir,Tuncay Günhan,Undirected
83,Muhittin Açýkalýn,Tuncay Günhan,Undirected
84,Uður Yýldýrým,Tuncay Günhan,Undirected
85,Oðuz Haksever,Ali Sezer Çevik,Undirected
86,Þeyma Kozlu,Ali Sezer Çevik,Undirected
87,Ebru Avcý,Ali Sezer Çevik,Undirected
88,Erol Polat,Ali Sezer Çevik,Undirected
89,Y. Emre Seyrek,Ali Sezer Çevik,Undirected
90,Mahir Demir,Ali Sezer Çevik,Undirected
91,Muhittin Açýkalýn,Ali Sezer Çevik,Undirected
92,Uður Yýldýrým,Ali Sezer Çevik,Undirected
